SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6716732-633829	6716732	633829	3472416000	2014	1	13	7.13	0.225	0.058	7.1	0.111	205	9	0.073026	0.365162	0.277957143
6716732-633829	6716732	633829	3474921600	2014	2	11	6.87	0.202	0.048	7.2	0.111	177	6.1	0.061056	0.307972	0.234657143
6716732-633829	6716732	633829	3477254400	2014	3	10	7.12	0.216	0.06	8	0.118	250	9.9	0.07582	0.38784	0.294642857
6716732-633829	6716732	633829	3480278400	2014	4	14	7.12	0.192	0.053	7.9	0.127	153	9.1	0.067541	0.338617	0.260571429
6716732-633829	6716732	633829	3482870400	2014	5	14	7.09	0.172	0.041	8.5	0.133	78	11.1	0.047777	0.292249	0.239228571
6716732-633829	6716732	633829	3485721600	2014	6	16	7.15	0.15	0.032	7.3	0.121	3	15.8	0.037704	0.246648	0.208985714
6716732-633829	6716732	633829	3488140800	2014	7	14	7.22	0.212	0.041	6.8	0.083	20	21	0.045777	0.315749	0.268871429
6716732-633829	6716732	633829	3490732800	2014	8	13	7.13	0.217	0.043	7.9	0.089	101	21.1	0.048571	0.339627	0.284185714
6716732-633829	6716732	633829	3493756800	2014	9	17	7.14	0.224	0.049	6.8	0.089	29	12.9	0.046953	0.305961	0.257328571
6716732-633829	6716732	633829	3495657600	2014	10	9	7.1	0.208	0.046	7.1	0.094	66	9.8	0.048262	0.323494	0.270885714
6716732-633829	6716732	633829	3498595200	2014	11	12	6.87	0.153	0.046	10	0.166	109	11.2	0.052262	0.299794	0.240114286
6716732-633829	6716732	633829	3500841600	2014	12	8	7.1	0.19	0.048	8.7	0.138	147	8.4	0.057056	0.327872	0.2607
6716732-633829	6716732	633829	3503952000	2015	1	13	6.89	0.21	0.052	8	0.127	190	7.2	0.059644	0.355328	0.282528571
6716732-633829	6716732	633829	3506371200	2015	2	10	6.85	0.214	0.054	8.2	0.122	159	6.6	0.061438	0.351906	0.279542857
6716732-633829	6716732	633829	3508790400	2015	3	10	6.93	0.224	0.064	8.6	0.131	183	10.2	0.073408	0.381896	0.295928571
6716732-633829	6716732	633829	3511382400	2015	4	9	7.04	0.219	0.068	9.2	0.143	179	12.1	0.080996	0.397952	0.304714286
6716732-633829	6716732	633829	3514233600	2015	5	12	7.08	0.192	0.05	9.3	0.141	89	14	0.05185	0.32825	0.270442857
6716732-633829	6716732	633829	3516566400	2015	6	8	7.03	0.158	0.039	8.4	0.131	39	17.2	0.039983	0.279271	0.236814286
6716732-633829	6716732	633829	3519590400	2015	7	13	7.26	0.204	0.045	7.6	0.103	15	13.7	0.052365	0.321405	0.268328571
6716732-633829	6716732	633829	3522096000	2015	8	11	7.06	0.184	0.041	8.2	0.136	17	14.2	0.043777	0.298549	0.253885714
6716732-633829	6716732	633829	3525292800	2015	9	17	7.12	0.212	0.044	7.2	0.103	80	10.8	0.048468	0.322616	0.268785714
6716732-633829	6716732	633829	3527539200	2015	10	13	6.89	0.166	0.044	10.5	0.169	74	10.2	0.043468	0.294716	0.246314286
6716732-633829	6716732	633829	3530649600	2015	11	18	7.04	0.21	0.045	7.5	0.103	129	6.1	0.048365	0.321905	0.264685714
6716732-633829	6716732	633829	3532464000	2015	12	9	7.13	0.234	0.055	7.2	0.111	152	7.8	0.058335	0.360995	0.292242857
6716732-633829	6716732	633829	3535920000	2016	1	18	6.96	0.227	0.062	8.5	0.139	186	7.9	0.067614	0.377118	0.296714286
6716732-633829	6716732	633829	3538598400	2016	2	18	6.88	0.235	0.061	8.1	0.125	180	11.1	0.065717	0.389229	0.311142857
6716732-633829	6716732	633829	3540758400	2016	3	14	6.84	0.239	0.056	7.8	0.119	169	6.6	0.060232	0.358784	0.286928571
6716732-633829	6716732	633829	3543782400	2016	4	18	7.08	0.228	0.0672	9	0.141	298	11.1	0.0730784	0.3943408	0.300514286
6716732-633829	6716732	633829	3546374400	2016	5	18	7.1	0.207	0.0552	8.7	0.133	80	12	0.0623144	0.3436728	0.276085714
6716732-633829	6716732	633829	3548707200	2016	6	14	7.06	0.174	0.045	8.7	0.132	11	14.8	0.046365	0.294005	0.247214286
6716732-633829	6716732	633829	3551040000	2016	7	11	7.13	0.217	0.0483	8	0.099	1.5	18.8	0.0510251	0.3513387	0.300592857
6716732-633829	6716732	633829	3553718400	2016	8	11	7.28	0.253	0.054	6.1	0.075	1.5	16.5	0.056438	0.372006	0.315892857
6716732-633829	6716732	633829	3556656000	2016	9	14	7.24	0.244	0.048	7	0.086	45	12.1	0.049056	0.351672	0.299785714
6716732-633829	6716732	633829	3560112000	2016	10	24	7.05	0.24	0.054	6.4	0.093	77	7.8	0.054438	0.335006	0.2755
6716732-633829	6716732	633829	3562099200	2016	11	16	7.14	0.247	0.056	6.2	0.085	122	6.4	0.061232	0.366784	0.297285714
6716732-633829	6716732	633829	3564604800	2016	12	15	6.98	0.27	0.076	7.6	0.115	233	9.7	0.077172	0.423564	0.330357143
6716732-633829	6716732	633829	3567974400	2017	1	23	6.87	0.252	0.073	8.3	0.118	233	7.4	0.082481	0.424897	0.326357143
6716732-633829	6716732	633829	3569961600	2017	2	15	6.84	0.242	0.062	7	0.099	174	5.4	0.070614	0.373118	0.290571429
6716732-633829	6716732	633829	3572380800	2017	3	15	7.01	0.246	0.059	6.9	0.096	173	6.9	0.066923	0.377451	0.298642857
6716732-633829	6716732	633829	3574800000	2017	4	12	7.18	0.257	0.073	7.2	0.1	157	9.6	0.079481	0.399897	0.309785714
6716732-633829	6716732	633829	3577132800	2017	5	9	7.18	0.271	0.076	7.6	0.101	105	10.5	0.079172	0.409564	0.3235
6716732-633829	6716732	633829	3580329600	2017	6	15	7.24	0.248	0.054	7.7	0.094	1.5	14.2	0.059438	0.373006	0.313892857
6716732-633829	6716732	633829	3582489600	2017	7	10	6.94	0.231	0.048	7.6	0.092	1.5	13.9	0.053056	0.340672	0.287892857
6716732-633829	6716732	633829	3584908800	2017	8	7	7.08	0.246	0.054	6.5	0.069		15.5	0.059438	0.360006	
6716732-633829	6716732	633829	3588624000	2017	9	19	7.24	0.233	0.045	7.2	0.086	49	11	0.047365	0.333005	0.2825
6716732-633829	6716732	633829	3590438400	2017	10	10	7.1	0.202	0.039	7.7	0.11	68	10.8	0.039983	0.305671	0.261142857
6716732-633829	6716732	633829	3593548800	2017	11	15	7.06	0.229	0.054	9.1	0.135	128	8.4	0.067438	0.377006	0.300857143
6716732-633829	6716732	633829	3596486400	2017	12	19	6.92	0.231	0.062	10.4	0.162	175	10.6	0.080614	0.414118	0.3215
7339849-815475	7339849	815475	2652048000	1988	1	15	6.43	0.163	0.033	7.6	0.135	60	12	0.058601	0.283337	0.220714286
7339849-815475	7339849	815475	2654726400	1988	2	15	6.49	0.187	0.031	5.9	0.127	80	19	0.050807	0.307559	0.251285714
7339849-815475	7339849	815475	2657232000	1988	3	15	6.59	0.179	0.035	5.6	0.079	105	17	0.048395	0.303115	0.2475
7339849-815475	7339849	815475	2659910400	1988	4	15	6.69	0.215	0.036	5.8	0.098	130	14	0.054292	0.331004	0.267714286
7339849-815475	7339849	815475	2662502400	1988	5	15	6.34	0.143	0.03	9.5	0.182	130	22	0.05491	0.28767	0.223714286
7339849-815475	7339849	815475	2665180800	1988	6	15	6.36	0.069	0.015	9.8	0.163	21	14	0.033455	0.184335	0.1495
7339849-815475	7339849	815475	2667772800	1988	7	15	6.66	0.113	0.021	7.4	0.138	7	18	0.042837	0.240669	0.1975
7339849-815475	7339849	815475	2670451200	1988	8	15	6.79	0.136	0.021	7.6	0.146	24	29	0.036837	0.256669	0.218285714
7339849-815475	7339849	815475	2673129600	1988	9	15	6.72	0.148	0.017	8.7	0.192	23	16	0.030249	0.262113	0.230357143
7339849-815475	7339849	815475	2675980800	1988	10	18	6.79	0.133	0.026	8.3	0.173	22	14	0.030322	0.256114	0.224428571
7339849-815475	7339849	815475	2678400000	1988	11	15	6.72	0.119	0.029	10.2	0.17	30	14	0.036013	0.243781	0.205857143
7339849-815475	7339849	815475	2680992000	1988	12	15	6.64	0.114	0.019	6.1	0.061	29	12	0.028043	0.192891	0.162928571
7339849-815475	7339849	815475	2683670400	1989	1	15	6.57	0.201	0.04	9.1	0.165	60	13	0.05088	0.33556	0.280714286
7339849-815475	7339849	815475	2686348800	1989	2	15	6.68	0.231	0.044	7.7	0.135	85	16	0.057468	0.369116	0.305928571
7339849-815475	7339849	815475	2688768000	1989	3	15	6.75	0.243	0.048	7.9	0.142	100	14	0.058056	0.365672	0.300857143
7339849-815475	7339849	815475	2691446400	1989	4	15	6.83	0.278	0.04	5.7	0.099	105	22	0.05388	0.39156	0.3305
7339849-815475	7339849	815475	2694038400	1989	5	15	6.01	0.046	0.018	11.1	0.212	20	17	0.034146	0.151002	0.115571429
7339849-815475	7339849	815475	2696630400	1989	6	14	6.41	0.079	0.018	9.2	0.099	12	19	0.035146	0.184002	0.148142857
7339849-815475	7339849	815475	2699308800	1989	7	15	6.69	0.099	0.019	8.1	0.129	8	37	0.035043	0.198891	0.163428571
7339849-815475	7339849	815475	2701987200	1989	8	15	6.68	0.146	0.021	6.5	0.114	5	15	0.040837	0.246669	0.205642857
7339849-815475	7339849	815475	2704665600	1989	9	15	6.73	0.139	0.023	7.7	0.116	15	12	0.041631	0.236447	0.193928571
7339849-815475	7339849	815475	2707257600	1989	10	15	6.84	0.16	0.026	7.5	0.138	26	19	0.042322	0.242114	0.198142857
7339849-815475	7339849	815475	2709936000	1989	11	15	6.87	0.181	0.034	6.1	0.139	29	15	0.047498	0.265226	0.215928571
7339849-815475	7339849	815475	2712441600	1989	12	14	6.57	0.118	0.029	7.3	0.069	37	18	0.048013	0.239781	0.189357143
7339849-815475	7339849	815475	2715206400	1990	1	15	6.59	0.206	0.046	11	0.123	58	38	0.072262	0.317894	0.241857143
7339849-815475	7339849	815475	2717798400	1990	2	14	6.76	0.221	0.039	6.2	0.127	70	13	0.056983	0.342671	0.281
7339849-815475	7339849	815475	2720304000	1990	3	15	6.7	0.257	0.036	4.8	0.106	94	15	0.064292	0.372004	0.301285714
7339849-815475	7339849	815475	2722982400	1990	4	15	6.74	0.242	0.038	4.6	0.103	133	16	0.062086	0.356782	0.2855
7339849-815475	7339849	815475	2725574400	1990	5	15	6.11	0.067	0.019	7	0.189	10	26	0.035043	0.126891	0.091285714
7339849-815475	7339849	815475	2728252800	1990	6	15	6.42	0.121	0.025	6	0.14	4	15	0.038425	0.183225	0.144714286
7339849-815475	7339849	815475	2730844800	1990	7	15	6.74	0.141	0.025	5.7	0.12	9	13	0.032425	0.210225	0.177357143
7339849-815475	7339849	815475	2733523200	1990	8	15	6.76	0.146	0.019	6.5	0.141	7	14	0.040043	0.221891	0.1815
7339849-815475	7339849	815475	2736201600	1990	9	15	6.82	0.178	0.021	5.9	0.136	26	13	0.039837	0.246669	0.205142857
7339849-815475	7339849	815475	2738880000	1990	10	16	6.95	0.179	0.024	6.2	0.149	32	15	0.036528	0.254336	0.215714286
7339849-815475	7339849	815475	2741472000	1990	11	15	6.78	0.147	0.031	6.4	0.141	37	11	0.036807	0.212559	0.173357143
7339849-815475	7339849	815475	2744064000	1990	12	15	6.65	0.167	0.033	6.7	0.134	44	12	0.043601	0.243337	0.196857143
7339849-815475	7339849	815475	2746742400	1991	1	15	6.69	0.208	0.04	5.7	0.126	47	15	0.05088	0.31056	0.256642857
7339849-815475	7339849	815475	2749420800	1991	2	15	6.7	0.239	0.046	4.9	0.108	91	18	0.057262	0.331894	0.2685
7339849-815475	7339849	815475	2751840000	1991	3	15	6.72	0.255	0.035	5.1	0.117	105	12	0.049395	0.343115	0.2865
7339849-815475	7339849	815475	2754518400	1991	4	15	6.81	0.275	0.038	5.2	0.122	123	22	0.055086	0.371782	0.308214286
7339849-815475	7339849	815475	2757110400	1991	5	15	6.36	0.121	0.022	7.3	0.192	47	21	0.037734	0.217558	0.176642857
7339849-815475	7339849	815475	2759788800	1991	6	15	6.22	0.084	0.018	8	0.17	44	17	0.042146	0.180002	0.134857143
7339849-815475	7339849	815475	2762380800	1991	7	15	6.48	0.103	0.014	7.2	0.138	28	24	0.030558	0.183446	0.151
7339849-815475	7339849	815475	2765059200	1991	8	15	6.71	0.13	0.022	6.3	0.121	29	17	0.035734	0.227558	0.189928571
7339849-815475	7339849	815475	2767824000	1991	9	16	6.76	0.143	0.02	8	0.151	24	20	0.03094	0.24778	0.215285714
7339849-815475	7339849	815475	2770329600	1991	10	15	6.75	0.128	0.021	7.2	0.148	9	20	0.032837	0.225669	0.192357143
7339849-815475	7339849	815475	2773008000	1991	11	15	6.52	0.098	0.027	7.5	0.146	21	16	0.039219	0.197003	0.1565
7339849-815475	7339849	815475	2775600000	1991	12	15	6.49	0.117	0.029	7.6	0.141	52	13	0.046013	0.232781	0.183285714
7339849-815475	7339849	815475	2778278400	1992	1	15	6.57	0.169	0.029	6.8	0.14	36	12	0.049013	0.270781	0.219428571
7339849-815475	7339849	815475	2781043200	1992	2	16	6.62	0.196	0.031	6.4	0.133	78	14	0.047807	0.293559	0.240428571
7339849-815475	7339849	815475	2783462400	1992	3	15	6.7	0.218	0.035	5.8	0.133	106	12	0.049395	0.321115	0.264428571
7339849-815475	7339849	815475	2786140800	1992	4	15	6.78	0.24	0.035	5.5	0.128	86	16	0.049395	0.329115	0.273857143
7339849-815475	7339849	815475	2788732800	1992	5	15	6.36	0.12	0.026	5.9	0.169	53	19	0.036322	0.213114	0.173214286
7339849-815475	7339849	815475	2791411200	1992	6	15	6.35	0.086	0.016	7	0.151	7	19	0.026352	0.168224	0.1415
7339849-815475	7339849	815475	2794089600	1992	7	16	6.63	0.105	0.022	5.9	0.141	7	15	0.029734	0.189558	0.1595
7339849-815475	7339849	815475	2796768000	1992	8	16	6.72	0.166	0.041	5.3	0.129	13	15	0.108777	0.327449	0.218071429
7339849-815475	7339849	815475	2799360000	1992	9	15	6.51	0.11	0.022	10	0.175	10	15	0.028734	0.198558	0.169285714
7339849-815475	7339849	815475	2801952000	1992	10	15	6.68	0.106	0.024	10.5	0.206	19	16	0.027528	0.200336	0.171642857
7339849-815475	7339849	815475	2804630400	1992	11	15	6.59	0.156	0.029	10	0.225	21	14	0.033013	0.233781	0.1995
7339849-815475	7339849	815475	2807222400	1992	12	15	6.6	0.193	0.035	8.3	0.154	45	14	0.039395	0.297115	0.254785714
7339849-815475	7339849	815475	2809987200	1993	1	16	6.6	0.222	0.036	7.4	0.167	63	14	0.050292	0.318004	0.2635
7339849-815475	7339849	815475	2812579200	1993	2	15	6.69	0.245	0.038	7.1	0.171	80	19	0.048086	0.354782	0.301285714
7339849-815475	7339849	815475	2814998400	1993	3	15	6.68	0.269	0.038	6.9	0.163	93	15	0.048086	0.381782	0.327357143
7339849-815475	7339849	815475	2817676800	1993	4	15	6.75	0.28	0.038	6.2	0.169	107	18	0.050086	0.399782	0.342357143
7339849-815475	7339849	815475	2820182400	1993	5	14	6.18	0.069	0.021	7.7	0.175	30	32	0.019837	0.138669	0.116857143
7339849-815475	7339849	815475	2822947200	1993	6	15	6.63	0.097	0.018	8.1	0.177	9	13	0.026146	0.175002	0.148357143
7339849-815475	7339849	815475	2825625600	1993	7	16	6.8	0.11	0.022	6.2	0.15	6	23	0.032734	0.202558	0.169571429
7339849-815475	7339849	815475	2828217600	1993	8	15	6.82	0.152	0.025	6.5	0.147	15	24	0.034425	0.239225	0.203928571
7339849-815475	7339849	815475	2830896000	1993	9	15	6.36	0.107	0.02	11.9	0.242	30	20	0.02594	0.20678	0.178857143
7339849-815475	7339849	815475	2833488000	1993	10	15	6.64	0.139	0.026	9.7	0.207	14	17	0.030322	0.233114	0.202
7339849-815475	7339849	815475	2836166400	1993	11	15	6.72	0.15	0.03	8.3	0.182	20	15	0.03591	0.26467	0.227571429
7339849-815475	7339849	815475	2838758400	1993	12	15	6.67	0.182	0.038	6	0.085	33	17	0.044086	0.290782	0.244642857
7339849-815475	7339849	815475	2841436800	1994	1	15	6.69	0.211	0.035	6.2	0.138	56	17	0.046395	0.304115	0.254
7339849-815475	7339849	815475	2844115200	1994	2	15	6.63	0.217	0.037	6.2	0.146	62	16	0.046189	0.317893	0.267571429
7339849-815475	7339849	815475	2846534400	1994	3	15	6.64	0.224	0.037	5.9	0.146	82	24	0.045189	0.334893	0.284142857
7339849-815475	7339849	815475	2849212800	1994	4	15	6.73	0.267	0.037	6.4	0.169	101	13	0.047189	0.365893	0.311785714
7339849-815475	7339849	815475	2851804800	1994	5	15	6.29	0.069	0.016	8.7	0.238	44	23	0.027352	0.152224	0.121857143
7339849-815475	7339849	815475	2854483200	1994	6	15	6.45	0.078	0.018	7.7	0.174	6	17	0.024146	0.145002	0.120571429
7339849-815475	7339849	815475	2857075200	1994	7	15	6.75	0.097	0.017	7	0.17	11	16	0.027249	0.176113	0.148214286
7339849-815475	7339849	815475	2859753600	1994	8	15	6.82	0.122	0.024	6.5	0.144	10	15	0.033528	0.201336	0.167285714
7339849-815475	7339849	815475	2862432000	1994	9	15	6.83	0.137	0.032	6.3	0.137	25	16	0.036704	0.211448	0.173214286
7339849-815475	7339849	815475	2865024000	1994	10	15	6.65	0.156	0.032	5.8	0.126	25	21	0.037704	0.239448	0.200214286
7339849-815475	7339849	815475	2867702400	1994	11	15	7.01	0.195	0.038	5.2	0.126	33	16	0.048086	0.280782	0.230642857
7339849-815475	7339849	815475	2870294400	1994	12	15	6.86	0.224	0.038	5.2	0.121	37	13	0.056086	0.326782	0.268357143
7339849-815475	7339849	815475	2873059200	1995	1	16	6.78	0.251	0.043	5.2	0.1	50	26	0.059571	0.361227	0.298428571
7339849-815475	7339849	815475	2875651200	1995	2	15	6.88	0.278	0.045	5	0.114	57	14	0.060365	0.381005	0.316928571
7339849-815475	7339849	815475	2878070400	1995	3	15	6.95	0.278	0.065	4.2	0.096	68	13	0.059305	0.382785	0.319142857
7339849-815475	7339849	815475	2880835200	1995	4	16	7	0.292	0.042	3.9	0.081	71	17	0.055674	0.392338	0.331928571
7339849-815475	7339849	815475	2883340800	1995	5	15	6.82	0.244	0.042	5.1	0.13	91	15	0.064674	0.367338	0.2965
7339849-815475	7339849	815475	2886019200	1995	6	15	6.36	0.063	0.015	8.5	0.194	16	28	0.030455	0.150335	0.118857143
7339849-815475	7339849	815475	2888611200	1995	7	15	6.74	0.097	0.02	7.6	0.184	18	22	0.03994	0.18578	0.144714286
7339849-815475	7339849	815475	2891289600	1995	8	15	6.94	0.119	0.021	8	0.162	12	18	0.036837	0.210669	0.173142857
7339849-815475	7339849	815475	2893968000	1995	9	15	6.84	0.129	0.026	6.3	0.158	27	20	0.036322	0.219114	0.181071429
7339849-815475	7339849	815475	2896560000	1995	10	15	7	0.156	0.029	5.9	0.153	19	15	0.038013	0.238781	0.199642857
7339849-815475	7339849	815475	2899238400	1995	11	15	7.04	0.184	0.041	5.4	0.139	30	19	0.045777	0.264449	0.216857143
7339849-815475	7339849	815475	2901916800	1995	12	16	6.72	0.172	0.041	2.1	0.128	24	14	0.047777	0.275449	0.226285714
7339849-815475	7339849	815475	2904508800	1996	1	15	6.41	0.201	0.042	5.2	0.12	44	27	0.050674	0.305338	0.251857143
7339849-815475	7339849	815475	2912371200	1996	4	15	6.92	0.258	0.043	6.7	0.113	93	13	0.058571	0.367227	0.302357143
7339849-815475	7339849	815475	2915049600	1996	5	16	6.77	0.242	0.043	4.6	0.113	96	16	0.058571	0.354227	0.289142857
7339849-815475	7339849	815475	2916518400	1996	6	2	6.64	0.089	0.02	7.5	0.189	23	16	0.03094	0.16978	0.137357143
7339849-815475	7339849	815475	2920233600	1996	7	15	6.77	0.1	0.019	7.8	0.148	5	10	0.035043	0.194891	0.159642857
7339849-815475	7339849	815475	2922912000	1996	8	15	6.76	0.123	0.019	8	0.167	10	11	0.033043	0.218891	0.185285714
7339849-815475	7339849	815475	2925590400	1996	9	15	6.85	0.131	0.025	7.7	0.171	33	10	0.031425	0.224225	0.190642857
7339849-815475	7339849	815475	2928182400	1996	10	15	7.03	0.152	0.028	7.1	0.167	42	12	0.038116	0.259892	0.219
7339849-815475	7339849	815475	2930860800	1996	11	15	6.72	0.121	0.033	7.5	0.139	32	8	0.038601	0.216337	0.175714286
7339849-815475	7339849	815475	2933452800	1996	12	15	6.65	0.123	0.033	8.4	0.154	26	9	0.044601	0.230337	0.184142857
7339849-815475	7339849	815475	2936131200	1997	1	15	6.64	0.165	0.038	8.3	0.135	36	24	0.046086	0.266782	0.218428571
7339849-815475	7339849	815475	2938809600	1997	2	15	6.68	0.205	0.038	6.9	0.128	51	11	0.048086	0.297782	0.246357143
7339849-815475	7339849	815475	2941228800	1997	3	15	6.71	0.223	0.048	6.4	0.128	68	13	0.050056	0.327672	0.273142857
7339849-815475	7339849	815475	2943907200	1997	4	15	6.95	0.273	0.05	8.7	0.108	111	23	0.05585	0.40445	0.341071429
7339849-815475	7339849	815475	2946499200	1997	5	15	6.65	0.211	0.041	9.1	0.108	82	36	0.049777	0.324449	0.269142857
7339849-815475	7339849	815475	2949264000	1997	6	16	6.47	0.07	0.02	9.1	0.155	6	12	0.02394	0.14578	0.121571429
7339849-815475	7339849	815475	2950646400	1997	7	2	6.38	0.112	0.03	8.1	0.078	3	17	0.02891	0.20467	0.175785714
7339849-815475	7339849	815475	2954361600	1997	8	14	6.98	0.143	0.023	6.9	0.112	2	11	0.034631	0.239447	0.204857143
7339849-815475	7339849	815475	2957126400	1997	9	15	6.78	0.132	0.024	6.9	0.11	6	16	0.033528	0.232336	0.198571429
7339849-815475	7339849	815475	2959718400	1997	10	15	6.99	0.16	0.031	6.1	0.111	22	14	0.038807	0.250559	0.210428571
7339849-815475	7339849	815475	2962396800	1997	11	15	6.98	0.193	0.035	6.3	0.126	30	19	0.042395	0.282115	0.237857143
7339849-815475	7339849	815475	2964988800	1997	12	15	6.9	0.23	0.039	7.4	0.128	11	18	0.049983	0.323671	0.273214286
7339849-815475	7339849	815475	2967667200	1998	1	15	6.91	0.246	0.04	5	0.123	29	12	0.05388	0.35156	0.295928571
7339849-815475	7339849	815475	2970345600	1998	2	15	6.96	0.268	0.045	4.4	0.109	51	10	0.053365	0.359005	0.302357143
7339849-815475	7339849	815475	2972764800	1998	3	15	6.92	0.277	0.037	4.3	0.09	62	8	0.054189	0.382893	0.324571429
7339849-815475	7339849	815475	2975443200	1998	4	15	6.89	0.289	0.053	3.9	0.104	66	17	0.053541	0.377117	0.319285714
7339849-815475	7339849	815475	2978121600	1998	5	16	6.26	0.076	0.021	10.5	0.174	34	29	0.034837	0.175669	0.138571429
7339849-815475	7339849	815475	2980713600	1998	6	15	6.49	0.06	0.02	8.8	0.159	8	24	0.03394	0.16278	0.128428571
7339849-815475	7339849	815475	2983305600	1998	7	15	6.5	0.088	0.017	8.4	0.15	3	15	0.033249	0.175113	0.141785714
7339849-815475	7339849	815475	2985897600	1998	8	14	6.73	0.119	0.017	9.9	0.206	22	10	0.027249	0.221113	0.192428571
7339849-815475	7339849	815475	2988662400	1998	9	15	6.51	0.091	0.018	12.3	0.221	16	14	0.024146	0.216002	0.190857143
7339849-815475	7339849	815475	2991254400	1998	10	15	6.61	0.115	0.023	11.2	0.239	34	9	0.026631	0.230447	0.201571429
7339849-815475	7339849	815475	2993932800	1998	11	15	6.49	0.081	0.025	9.5	0.173	23	9	0.027425	0.182225	0.153357143
7339849-815475	7339849	815475	2996524800	1998	12	15	6.54	0.106	0.029	9.3	0.181	19	8	0.034013	0.209781	0.174642857
7339849-815475	7339849	815475	2999203200	1999	1	15	6.61	0.145	0.031	7.6	0.168	43	7	0.037807	0.249559	0.208928571
7339849-815475	7339849	815475	3001881600	1999	2	15	6.67	0.181	0.031	6.9	0.162	42	11	0.040807	0.280559	0.237
7339849-815475	7339849	815475	3004300800	1999	3	15	6.65	0.205	0.038	6.5	0.154	58	10	0.043086	0.291782	0.244857143
7339849-815475	7339849	815475	3006979200	1999	4	15	6.83	0.218	0.037	5.7	0.155	88	5	0.045189	0.324893	0.273714286
7339849-815475	7339849	815475	3009571200	1999	5	15	6.3	0.094	0.02	8.2	0.262	38	22	0.02194	0.18578	0.161285714
7339849-815475	7339849	815475	3012249600	1999	6	15	6.67	0.072	0.011	7.9	0.214	3	19	0.022867	0.159779	0.136785714
7339849-815475	7339849	815475	3014841600	1999	7	15	6.9	0.107	0.017	7.5	0.182	9	16	0.026249	0.200113	0.173357143
